

TrainId=167 Delay=0 FreeRun=5880 	Final Delay=235
T25 Train167 AimedDepartureTime=820 WaitTime=120 BaseTime=820 RunTime=300	OptSolTime=1055
T24 Train167 AimedDepartureTime=1150 WaitTime=30 BaseTime=1150 RunTime=210	OptSolTime=1385
T23 Train167 AimedDepartureTime=1390 WaitTime=30 BaseTime=1390 RunTime=210	OptSolTime=1625
T22 Train167 AimedDepartureTime=1630 WaitTime=30 BaseTime=1630 RunTime=90	OptSolTime=1865
T21 Train167 AimedDepartureTime=1750 WaitTime=30 BaseTime=1750 RunTime=180	OptSolTime=1985
T20 Train167 AimedDepartureTime=1930 WaitTime=0 BaseTime=1930 RunTime=42	OptSolTime=2165
T19 Train167 AimedDepartureTime=1972 WaitTime=0 BaseTime=1972 RunTime=168	OptSolTime=2207
T18 Train167 AimedDepartureTime=2180 WaitTime=40 BaseTime=2180 RunTime=280	OptSolTime=2415
T17 Train167 AimedDepartureTime=2490 WaitTime=30 BaseTime=2490 RunTime=210	OptSolTime=2725
T16 Train167 AimedDepartureTime=2730 WaitTime=30 BaseTime=2730 RunTime=150	OptSolTime=2965
T15 Train167 AimedDepartureTime=2910 WaitTime=30 BaseTime=2910 RunTime=390	OptSolTime=3145
T14 Train167 AimedDepartureTime=3480 WaitTime=180 BaseTime=3480 RunTime=420	OptSolTime=3715
T13 Train167 AimedDepartureTime=3930 WaitTime=30 BaseTime=3930 RunTime=114	OptSolTime=4165
T12 Train167 AimedDepartureTime=4044 WaitTime=0 BaseTime=4044 RunTime=156	OptSolTime=4279
T11 Train167 AimedDepartureTime=4230 WaitTime=30 BaseTime=4230 RunTime=328	OptSolTime=4465
T10 Train167 AimedDepartureTime=4558 WaitTime=0 BaseTime=4558 RunTime=205	OptSolTime=4793
T9 Train167 AimedDepartureTime=4763 WaitTime=0 BaseTime=4763 RunTime=277	OptSolTime=4998
T8 Train167 AimedDepartureTime=5070 WaitTime=30 BaseTime=5070 RunTime=275	OptSolTime=5305
T7 Train167 AimedDepartureTime=5345 WaitTime=0 BaseTime=5345 RunTime=355	OptSolTime=5580
T6 Train167 AimedDepartureTime=5880 WaitTime=180 BaseTime=5880 RunTime=660	OptSolTime=6115

TrainId=72 Delay=11301 FreeRun=1828 	Final Delay=11428
T22 Train72 AimedDepartureTime=0 WaitTime=30 BaseTime=11301 RunTime=150	OptSolTime=11428
T21 Train72 AimedDepartureTime=0 WaitTime=30 BaseTime=11481 RunTime=149	OptSolTime=11608
