

TrainId=5 Delay=505 FreeRun=10588 	Final Delay=1860
T23 Train5 AimedDepartureTime=4006 WaitTime=0 BaseTime=4511 RunTime=540	OptSolTime=4816
T22 Train5 AimedDepartureTime=4786 WaitTime=240 BaseTime=5291 RunTime=480	OptSolTime=5863
T21 Train5 AimedDepartureTime=5266 WaitTime=0 BaseTime=5771 RunTime=132	OptSolTime=6343
T20 Train5 AimedDepartureTime=5398 WaitTime=0 BaseTime=5903 RunTime=408	OptSolTime=6475
T19 Train5 AimedDepartureTime=6046 WaitTime=240 BaseTime=6551 RunTime=457	OptSolTime=7123
T18 Train5 AimedDepartureTime=6503 WaitTime=0 BaseTime=7008 RunTime=241	OptSolTime=7580
T17 Train5 AimedDepartureTime=6744 WaitTime=0 BaseTime=7249 RunTime=304	OptSolTime=7821
T16 Train5 AimedDepartureTime=7048 WaitTime=0 BaseTime=7553 RunTime=102	OptSolTime=8125
T15 Train5 AimedDepartureTime=7150 WaitTime=0 BaseTime=7655 RunTime=197	OptSolTime=8555
T14 Train5 AimedDepartureTime=7347 WaitTime=0 BaseTime=7852 RunTime=190	OptSolTime=8836
T13 Train5 AimedDepartureTime=7537 WaitTime=0 BaseTime=8042 RunTime=292	OptSolTime=9026
T12 Train5 AimedDepartureTime=7829 WaitTime=0 BaseTime=8334 RunTime=108	OptSolTime=9318
T11 Train5 AimedDepartureTime=7937 WaitTime=0 BaseTime=8442 RunTime=749	OptSolTime=9426
T10 Train5 AimedDepartureTime=9286 WaitTime=600 BaseTime=9791 RunTime=900	OptSolTime=11146
T9 Train5 AimedDepartureTime=10186 WaitTime=0 BaseTime=10691 RunTime=98	OptSolTime=12046
T8 Train5 AimedDepartureTime=10284 WaitTime=0 BaseTime=10789 RunTime=82	OptSolTime=12144
T7 Train5 AimedDepartureTime=10366 WaitTime=0 BaseTime=10871 RunTime=56	OptSolTime=12226
T5 Train5 AimedDepartureTime=10422 WaitTime=0 BaseTime=10927 RunTime=29	OptSolTime=12282
T3 Train5 AimedDepartureTime=10451 WaitTime=0 BaseTime=10956 RunTime=137	OptSolTime=12311
T1 Train5 AimedDepartureTime=10588 WaitTime=0 BaseTime=11093 RunTime=258	OptSolTime=12448

TrainId=11 Delay=540 FreeRun=2390 	Final Delay=586
T28 Train11 AimedDepartureTime=0 WaitTime=120 BaseTime=540 RunTime=410	OptSolTime=540
T29 Train11 AimedDepartureTime=0 WaitTime=10 BaseTime=960 RunTime=990	OptSolTime=960
T30 Train11 AimedDepartureTime=1440 WaitTime=30 BaseTime=1980 RunTime=290	OptSolTime=1980
