

TrainId=12 Delay=4076 FreeRun=2390 	Final Delay=4720
T28 Train12 AimedDepartureTime=0 WaitTime=120 BaseTime=4076 RunTime=470	OptSolTime=4260
T29 Train12 AimedDepartureTime=0 WaitTime=10 BaseTime=4556 RunTime=930	OptSolTime=5200
T30 Train12 AimedDepartureTime=0 WaitTime=30 BaseTime=5516 RunTime=290	OptSolTime=6160
T31 Train12 AimedDepartureTime=0 WaitTime=10 BaseTime=5816 RunTime=270	OptSolTime=6460
T32 Train12 AimedDepartureTime=0 WaitTime=30 BaseTime=6116 RunTime=350	OptSolTime=6760
T33 Train12 AimedDepartureTime=0 WaitTime=0 BaseTime=6466 RunTime=250	OptSolTime=7110

TrainId=15 Delay=296 FreeRun=795 	Final Delay=296
T9 Train15 AimedDepartureTime=0 WaitTime=60 BaseTime=296 RunTime=180	OptSolTime=296
T8 Train15 AimedDepartureTime=0 WaitTime=30 BaseTime=506 RunTime=210	OptSolTime=506
T7 Train15 AimedDepartureTime=450 WaitTime=30 BaseTime=746 RunTime=130	OptSolTime=746
T5 Train15 AimedDepartureTime=580 WaitTime=0 BaseTime=876 RunTime=49	OptSolTime=876
T3 Train15 AimedDepartureTime=629 WaitTime=0 BaseTime=925 RunTime=166	OptSolTime=925
T1 Train15 AimedDepartureTime=795 WaitTime=0 BaseTime=1091 RunTime=285	OptSolTime=1091

TrainId=18 Delay=0 FreeRun=1205 	Final Delay=0
T18 Train18 AimedDepartureTime=125 WaitTime=0 BaseTime=125 RunTime=180	OptSolTime=125
T19 Train18 AimedDepartureTime=305 WaitTime=0 BaseTime=305 RunTime=180	OptSolTime=305
T20 Train18 AimedDepartureTime=485 WaitTime=0 BaseTime=485 RunTime=121	OptSolTime=485
T21 Train18 AimedDepartureTime=606 WaitTime=0 BaseTime=606 RunTime=119	OptSolTime=606
T22 Train18 AimedDepartureTime=725 WaitTime=0 BaseTime=725 RunTime=300	OptSolTime=725
T23 Train18 AimedDepartureTime=1205 WaitTime=180 BaseTime=1205 RunTime=300	OptSolTime=1205

TrainId=19 Delay=314 FreeRun=5810 	Final Delay=370
T10 Train19 AimedDepartureTime=0 WaitTime=120 BaseTime=314 RunTime=300	OptSolTime=314
T11 Train19 AimedDepartureTime=0 WaitTime=0 BaseTime=614 RunTime=60	OptSolTime=614
T12 Train19 AimedDepartureTime=360 WaitTime=0 BaseTime=674 RunTime=120	OptSolTime=674
T13 Train19 AimedDepartureTime=480 WaitTime=0 BaseTime=794 RunTime=270	OptSolTime=794
T14 Train19 AimedDepartureTime=780 WaitTime=30 BaseTime=1094 RunTime=180	OptSolTime=1094
T15 Train19 AimedDepartureTime=960 WaitTime=0 BaseTime=1274 RunTime=60	OptSolTime=1274
T16 Train19 AimedDepartureTime=1020 WaitTime=0 BaseTime=1334 RunTime=120	OptSolTime=1334
T17 Train19 AimedDepartureTime=1140 WaitTime=0 BaseTime=1454 RunTime=240	OptSolTime=1454
T18 Train19 AimedDepartureTime=1380 WaitTime=0 BaseTime=1694 RunTime=180	OptSolTime=1694
T19 Train19 AimedDepartureTime=1560 WaitTime=0 BaseTime=1874 RunTime=151	OptSolTime=1874
T20 Train19 AimedDepartureTime=1711 WaitTime=0 BaseTime=2025 RunTime=59	OptSolTime=2025
T21 Train19 AimedDepartureTime=1800 WaitTime=30 BaseTime=2114 RunTime=180	OptSolTime=2114
T22 Train19 AimedDepartureTime=1980 WaitTime=0 BaseTime=2294 RunTime=210	OptSolTime=2294
T23 Train19 AimedDepartureTime=2220 WaitTime=30 BaseTime=2534 RunTime=270	OptSolTime=2534
T24 Train19 AimedDepartureTime=2520 WaitTime=30 BaseTime=2834 RunTime=170	OptSolTime=2834
T25 Train19 AimedDepartureTime=2700 WaitTime=10 BaseTime=3014 RunTime=390	OptSolTime=3014
T26 Train19 AimedDepartureTime=3120 WaitTime=30 BaseTime=3434 RunTime=120	OptSolTime=3434
